Nr;Event;GPrecision;GRecall;Redundancy;Compactness;Overlap;GT cross entropy;FC cross entropy;Homogeneity;Completeness;V-Measure;VarInformation;Precision;Recall;F1;
72;;0.9922566371681416;1.0;0.0;0.9553269278371094;0.0;0.9630983302237628;0.9408505673336509;0.8703392489749635;0.922869862607269;0.8958351348265553;0.8972297770984611;1.0;1.0;1.0;
73;;0.9867986798679867;1.0;0.0;0.9416264269352859;0.0;0.9465193079668638;0.9078843507787878;0.790550527778178;0.8882171687788937;0.8365428438965938;0.8414385268969174;1.0;1.0;1.0;
74;;0.9913606911447084;1.0;0.0;0.6355183093269622;0.0;0.9621802846778594;0.9336694923548967;0.8257562838612512;0.9075736084315416;0.8647339592553246;0.8681415780076184;1.0;1.0;1.0;
75;;0.9876957494407159;1.0;0.0;0.9032872425554579;0.0;0.947380643797451;0.9144366960807198;0.8245688677814014;0.898940216999456;0.8601499388425404;0.8629693720977509;1.0;1.0;1.0;
76;;0.9664218258132214;1.0;0.0;0.8338102724181784;0.0;0.9446508764914178;0.8457586132129177;0.4751559539063859;0.8590810247792094;0.6118815028106487;0.6947650691149234;0.9598262757871878;1.0;0.9795013850415513;
77;;0.9922135706340378;1.0;0.0;0.8523241440354443;0.0;0.9626029939786799;0.9409067975258268;0.8748443071134154;0.9242751360844779;0.8988806652800334;0.9001148191586971;1.0;1.0;1.0;
78;;0.9836779107725789;1.0;0.0;0.9535832837821225;0.0;0.9399748090985514;0.8894816948228348;0.7275814264329213;0.8684195100128016;0.7917863848431154;0.8021259618819826;1.0;1.0;1.0;
79;;0.9945414847161572;1.0;0.0;0.8447326896606028;0.0;0.9722240286318433;0.9552198696813043;0.8923862271017047;0.935870493368095;0.9136112333479711;0.9145636974661804;1.0;1.0;1.0;
80;;0.9868131868131869;1.0;0.0;0.8515720428475954;0.0;0.9466989437972321;0.9078651890778906;0.788909089884266;0.8878589192949454;0.8354643792488302;0.8404912131634995;1.0;1.0;1.0;
81;;0.9857612267250822;1.0;0.0;0.8866287126201784;0.0;0.9442561814972011;0.9016367197955728;0.7693039716624073;0.8811421274213163;0.8214338397365558;0.8278847831327951;1.0;1.0;1.0;
82;;0.9891186071817193;1.0;0.0;0.9604863564031808;0.0;0.9545378189244469;0.9204318989466943;0.8038711455479208;0.8966296181720359;0.8477204993609148;0.852121253158348;1.0;1.0;1.0;
83;;0.9790055248618784;1.0;0.0;0.8530623817452808;0.0;0.9258974439320876;0.8669754883318105;0.7063104091223809;0.8552301331317413;0.7736692437765285;0.7853176266569175;1.0;1.0;1.0;
84;;0.9869423286180631;1.0;0.0;0.7929008060213927;0.0;0.9484056308092615;0.907693681533401;0.7724724825666713;0.8844224943576343;0.8246654729106115;0.8311218895275274;1.0;1.0;1.0;
85;;0.982646420824295;1.0;0.0;0.9468960656093116;0.0;0.9381300210135575;0.8835403684060393;0.7052345621437119;0.8624139955262401;0.7759445234658348;0.7889027748632446;1.0;1.0;1.0;
86;;0.9857456140350878;1.0;0.0;0.8898053841199698;0.0;0.9440563390179851;0.901657421075078;0.7711678677380216;0.8815148382611966;0.8226575079822194;0.8289350487762221;1.0;1.0;1.0;
87;;0.9823982398239824;1.0;0.0;0.8935157657135817;0.0;0.9348723447131586;0.8838710499208087;0.7359498900631986;0.867303120739825;0.7962456730896658;0.8052258989309407;1.0;1.0;1.0;
88;;0.9844789356984479;1.0;0.0;0.8243761610076085;0.0;0.9391207823616452;0.895825030051347;0.7748169476829186;0.8796661357487292;0.8239192495908245;0.829585023478928;1.0;1.0;1.0;
89;;0.9475341028331584;1.0;0.0;0.8948045500704086;0.0;0.9221425722168272;0.6172551415367944;-1.0;0.8782981822698069;-1.0;0.5273891636769136;0.8482834994462901;1.0;0.9179149191132415;
90;;0.945031712473573;1.0;0.0;0.7973088129850803;0.0;0.9331386214656072;0.6028338370842714;-1.0;0.9051464367589904;-1.0;0.5701364158667237;0.8087248322147651;1.0;0.8942486085343229;
91;;0.9587301587301588;1.0;0.0;0.9047540614866003;0.0;0.937704947430579;0.565761508440115;-1.0;0.9123651307317197;-1.0;0.5269992496714043;0.7869757174392936;1.0;0.8807906114885732;
92;;0.9463722397476341;1.0;0.0;0.8460999011839649;0.0;0.9265397452456623;0.6025041038508909;-1.0;0.891184257808084;-1.0;0.5410416324039075;0.8255555555555556;1.0;0.9044430919050518;
93;;0.953763440860215;1.0;0.0;0.926256043833307;0.0;0.9217657198749551;0.5744537396555368;-1.0;0.8925876792883645;-1.0;0.5458972282810312;0.7970687711386697;1.0;0.8870765370138017;
94;;0.9607218683651805;1.0;0.0;0.8858955118305578;0.0;0.9351098341858743;0.5812193447334797;-1.0;0.9061740199344549;-1.0;0.5301028172901787;0.8055248618784531;1.0;0.8922888616891065;
95;;0.9523809523809523;0.9799554565701559;0.0;0.8869574645247827;1.0;0.8761445158695031;0.5708095882661413;-1.0;0.8244696402608644;-1.0;0.49990399647522643;0.8193181818181818;1.0;0.9006870705808869;
96;;0.9550438596491229;0.9656319290465631;0.0;0.9092472256127468;0.0;0.8438435273924053;0.5284208959642349;-1.0;0.781830520633224;-1.0;0.43755962139828036;0.8163030998851895;1.0;0.8988621997471555;
97;;0.9689174705251876;0.9988950276243094;0.0;0.8716337826546299;0.0;0.9323678657501399;0.5636775634774561;-1.0;0.9034517476402646;-1.0;0.5118192459514018;0.7986725663716814;1.0;0.8880688806888068;
98;;0.9646680942184154;0.9879385964912281;0.017;0.9673902534586898;1.0;0.8234946158009437;0.4943634067532582;-1.0;0.7485061665839825;-1.0;0.3651685524257644;0.8956714761376249;0.5112201963534362;0.4637074772693663;
99;;0.9532608695652174;0.9744444444444444;0.0;0.9559078137165311;0.0;0.858178831568668;0.5482164630813472;-1.0;0.7979831564992206;-1.0;0.4574446234940684;0.8244013683010262;1.0;0.90375;
